name,platform,publisher,developer,Total_Shipped,year
Battle Garegga Rev.2016,PS4,M2,Arc System Works,0.01,2016
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,M2,M2,0.01,2018
TOCA Championship Racing,PS,3DO,Codemasters,0.6,1998
BattleTanx,N64,3DO,3DO,0.33,1998
Uprising X,PS,3DO,Cyclone Studios,0.07,1998
Army Men 3D,PS,3DO,3DO,1.28,1999
Army Men: Air Attack,PS,3DO,3DO,0.85,1999
Army Men: Sarge's Heroes,N64,3DO,3DO,0.81,1999
BattleTanx: Global Assault,N64,3DO,3DO,0.39,1999
Sammy Sosa High Heat Baseball 2001,PS,3DO,Team .366,0.58,2000
Army Men: Sarge's Heroes,PS,3DO,3DO,0.56,2000
Army Men: Sarge's Heroes 2,N64,3DO,3DO,0.42,2000
"Army Men World War: Land, Sea, Air",PS,3DO,3DO,0.3,2000
Army Men: Air Attack 2,PS,3DO,3DO,0.3,2000
Crusaders of Might and Magic,PS,3DO,3DO,0.25,2000
Army Men: Sarge's Heroes 2,PS,3DO,3DO,0.24,2000
Army Men: Air Combat,N64,3DO,3DO,0.24,2000
World Destruction League: Thunder Tanks,PS2,3DO,3DO,0.17,2000
World Destruction League: Thunder Tanks,PS,3DO,3DO,0.17,2000
Army Men World War: Final Front,PS,3DO,3DO,0.44,2001
Army Men: Sarge's Heroes 2,PS2,3DO,3DO,0.17,2001
Warriors of Might and Magic,PS2,3DO,3DO,0.17,2001
Jonny Moseley Mad Trix,PS2,3DO,3DO,0.14,2001
Army Men: Green Rogue,PS2,3DO,3DO,0.13,2001
Portal Runner,PS2,3DO,3DO,0.13,2001
Warriors of Might and Magic,PS,3DO,3DO,0.13,2001
Aqua Aqua,PS2,3DO,Zed Two Limited,0.11,2001
Army Men World War: Team Assault,PS,3DO,3DO,0.1,2001
Army Men: Green Rogue,PS,3DO,3DO,0.07,2001
Dragon Rage,PS2,3DO,3DO,0.06,2001
High Heat Baseball 2002,PS,3DO,3DO,0.04,2001
WarJetz,PS2,3DO,3DO,0.04,2001
High Heat Major League Baseball 2003,PS2,3DO,3DO,0.37,2002
Army Men: RTS,PS2,3DO,Pandemic Studios,0.11,2002
Godai: Elemental Force,PS2,3DO,3DO,0.07,2002
Shifters,PS2,3DO,3DO,0.05,2002
High Heat Major League Baseball 2004,PS2,3DO,3DO,0.36,2003
High Heat Major League Baseball 2004,XB,3DO,3DO,0.08,2003
Army Men: Air Combat - The Elite Missions,GC,3DO,3DO,0.01,2003
Memories Off 6: T-Wave,PS2,5pb,5pb. Games,0.04,2008
Prism Ark: Awake,PS2,5pb,PENCIL,0.02,2008
Night Wizard the Video Game: Denial of the World,PS2,5pb,5pb. Games,0.02,2008
Memories Off,PSP,5pb,5pb. Games,0.01,2008
Kanokon: Esuii,PS2,5pb,Genterprise,0.01,2008
Memories Off 2nd,PSP,5pb,5pb. Games,0.01,2008
Memories Off: Sorekara,PSP,5pb,5pb. Games,0.01,2008
Memories Off: Omoide ni Kawaru-Kun,PSP,5pb,5pb. Games,0.01,2008
Monochrome Fighter: Cross Road,PS2,5pb,Genterprise,0.01,2008
Steins;Gate,X360,5pb,Nitro+,0.06,2009
Chaos;Head Noah,X360,5pb,Genterprise,0.04,2009
DoDonPachi Dai-Oujou: Black Label Extra,X360,5pb,Cave,0.02,2009
11eyes: CrossOver,X360,5pb,Genterprise,0.02,2009
Memories Off 6: Next Relation,PS2,5pb,5pb. Games,0.02,2009
Memories Off #5: Togireta Film,PSP,5pb,5pb. Games,0.01,2009
Lucian Bee's: Resurrection Supernova,PS2,5pb,HuneX,0.01,2009
Memories Off 6: T-Wave,PSP,5pb,5pb. Games,0.01,2009
Tayutama: Kiss on my Deity,X360,5pb,Lump of Sugar,0.01,2009
Memories Off: AfterRain,PSP,5pb,5pb. Games,0.01,2009
Taishou Yakyuujou: Otome Tatsuno Seishun Nikki,PSP,5pb,5pb. Games,0.01,2009
Memories Off 6: Next Relation,X360,5pb,5pb. Games,0.01,2009
Skip Beat!,PS2,5pb,5pb. Inc.,0.01,2009
Lucian Bee's: Justice Yellow / Evil Violet,PS2,5pb,HuneX,0.07,2010
Chaos;Head - Love Chu*Chu!,X360,5pb,Nitroplus,0.03,2010
Chaos;Head Noah,PSP,5pb,Genterprise,0.02,2010
Pastel Chime Continue,PSP,5pb,Alice Soft,0.02,2010
11eyes: CrossOver,PSP,5pb,Genterprise,0.02,2010
Ketsui: Kizuna Jigoku Tachi Extra,X360,5pb,Cave,0.02,2010
Memories Off: Yubikiri no Kioku,X360,5pb,5pb. Games,0.02,2010
W.L.O. Sekai Renai Kikousen,X360,5pb,AKABEi SOFT2,0.02,2010
"Sharin no Kuni, Himawari no Shoujo",X360,5pb,5pb. Games,0.02,2010
Memories Off 6: Next Relation,PSP,5pb,5pb. Games,0.01,2010
Steins;Gate: Darling of Loving Vows,X360,5pb,Nitro+,0.08,2011
Corpse Party: Book of Shadows,PSP,5pb,Team GrisGris,0.04,2011
Chaos;Head - Love Chu*Chu!,PSP,5pb,Nitroplus,0.04,2011
Dunamis 15,PS3,5pb,5pb. Games,0.02,2011
Memories Off: Yubikiri no Kikou,PSP,5pb,5pb. Games,0.02,2011
Dunamis 15,X360,5pb,5pb. Games,0.02,2011
Robotics;Notes,PS3,5pb,5pb. Games,0.11,2012
Steins;Gate: Darling of Loving Vows,PSP,5pb,5pb. Inc.,0.06,2012
Anohana: The Flower We Saw That Day,PSP,5pb,Guyzware,0.02,2012
Robotics;Notes,X360,5pb,5pb. Games,0.02,2012
Steins;Gate: Darling of Loving Vows,PS3,5pb,5pb. Inc.,0.02,2012
Akatsuki no Goei Trinity,PSP,5pb,Unknown,0.01,2012
Muv-Luv Alternative,PS3,5pb,Unknown,0.01,2012
Akatsuki no Goei Trinity,PS3,5pb,Syangrila,0.01,2012
Muv-Luv,PS3,5pb,Unknown,0.01,2012
Steins;Gate: Senkei Kousoku no Phonogram,PS3,5pb,5pb. Games,0.06,2013
Muv-Luv Alternative: Total Eclipse,PS3,5pb,MAGES. Inc.,0.03,2013
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,5pb,MAGES. Inc.,0.02,2013
Steins;Gate: Senkei Kousoku no Phonogram,X360,5pb,5pb. Games,0.02,2013
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,5pb,Unknown,0.01,2013
Disorder 6,PS3,5pb,MAGES. Inc.,0.01,2013
Eiyuu * Senki,PS3,5pb,Unknown,0.01,2013
Phantom Breaker,PS3,5pb,Unknown,0.01,2013
Hanasaku Manimani,PSP,5pb,Unknown,0.01,2013
Muv-Luv Alternative: Total Eclipse,X360,5pb,Unknown,0.01,2013
Infinite Stratos 2: Ignition Hearts,PSV,5pb,5pb. Games,0.03,2014
Infinite Stratos 2: Ignition Hearts,PS3,5pb,5pb. Inc.,0.03,2014
Robotics;Notes,PSV,5pb,5pb. Games,0.02,2014
Chaos;Head Dual,PSV,5pb,Genterprise,0.01,2014
Hanasaku Manimani,PSV,5pb,5pb. Inc.,0.01,2014
Muv-luv Photonmelodies,PS3,5pb,5pb. Inc.,0.01,2014
Muv-luv Photonflowers,PS3,5pb,Unknown,0.01,2014
Eiyuu * Senki,PSV,5pb,Tenco,0.01,2014
Oretachi ni Tsubasa wa Nai,PSV,5pb,Unknown,0.01,2014
Bullet Soul Infinite Burst,X360,5pb,Unknown,0.01,2014
Steins;Gate,PSV,5pb,5pb. Inc.,0.1,2015
Steins;Gate,PS3,5pb,5pb. Inc.,0.06,2015
Corpse Party: Blood Covered - Repeated Fear,3DS,5pb,Team GrisGris,0.05,2015
Steins;Gate 0,PS3,5pb,5pb. Inc.,0.03,2015
Lovely x Cation 1 & 2,PSV,5pb,Unknown,0.02,2015
Psycho-Pass: Mandatory Happiness,XOne,5pb,5pb. Inc.,0.02,2015
Kadenz fermata//Akkord:fortissimo,PSV,5pb,La'cryma,0.02,2015
Chaos;Child,PS3,5pb,5pb. Inc.,0.02,2015
Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,5pb,Unknown,0.02,2015
Infinite Stratos 2: Love and Purge,PSV,5pb,Unknown,0.01,2015
Infinite Stratos 2: Love and Purge,PS3,5pb,Unknown,0.01,2015
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,5pb,5pb. Inc.,0.04,2016
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,5pb,Unknown,0.03,2016
MuvLuv Double Pack,PSV,5pb,Unknown,0.03,2016
Plastic Memories,PSV,5pb,Unknown,0.02,2016
Meiji Toukyou Renka: Full Moon,PSV,5pb,Unknown,0.02,2016
"Kono Oozora ni, Tsubasa o Hirogete: Cruise Sign",PSV,5pb,Unknown,0.01,2016
