Name,Critic_Score,User_Score
Army Men: Sarge's Heroes,4.2,
Army Men: Sarge's Heroes,3.5,
World Destruction League: Thunder Tanks,3.5,
Jonny Moseley Mad Trix,3.0,
Army Men: Green Rogue,4.3,
Army Men: Air Combat - The Elite Missions,3.8,
Bravo Air Race,5.3,
Quest 64,5.4,
WCW Nitro,4.7,
Rugrats: Scavenger Hunt,3.7,
Bassmasters 2000,3.1,
Scooby-Doo and the Cyber Chase,3.5,
Tetris Worlds,3.8,
"Monsters, Inc. Scream Arena",3.8,
Tetris Worlds,4.6,
Hot Wheels Velocity X,5.2,
Toxic Grind,4.9,
Crazy Taxi: Catch a Ride,4.8,
Buffy the Vampire Slayer: Wrath of the Darkhul King,4.6,
The Incredibles,5.4,
Hot Wheels: Stunt Track Challenge,5.3,
Power Rangers: Dino Thunder,5.3,
The Polar Express,3.5,
All Grown Up! Express Yourself,3.7,
Ping Pals,3.5,
The Polar Express,3.3,
MX vs. ATV Unleashed,9.3,
Zoo Tycoon DS,4.6,
MX vs. ATV Unleashed,9.3,
The Fairly Odd Parents: Clash with the Anti-World,3.5,
SpongeBob SquarePants: The Yellow Avenger,5.7,
Avatar: The Last Airbender,5.1,
Scooby-Doo! Who's Watching Who?,5.3,
Barnyard,5.6,
Company of Heroes,9.4,
MX vs. ATV Untamed,5.6,
SpongeBob's Atlantis SquarePantis,5.3,
Ratatouille,5.2,
SpongeBob's Atlantis SquarePantis,5.1,
MX vs. ATV Untamed,4.9,
Ratatouille,5.3,
Zoey 101: Field Trip Fiasco,3.5,
Big Beach Sports,4.9,
Wall-E,5.3,
Destroy All Humans! Big Willy Unleashed,5.3,
Destroy All Humans! Path of the Furon,4.1,
Let's Ride! Friends Forever,2.0,
Journey to the Center of the Earth,3.5,
MX vs. ATV Reflex,5.3,
SpongeBob SquigglePants,5.4,
Kung Fu Panda 2,3.0,
Marvel Super Hero Squad: The Infinity Gauntlet,4.8,
Kung Fu Panda 2,3.5,
Dynasty Warriors 5: Xtreme Legends,5.2,
Samurai Warriors 2,5.6,
Samurai Warriors 2,5.4,
Dynasty Warriors Vol. 2,5.4,
Dynasty Warriors 6,3.5,
Warriors Orochi 2,4.3,
